City,Address,Latitude,Longitude,List Price,Close Price,Price Per Sqft,Sqft,DOM,Close Date,Bathrooms,Bedrooms,Subdivision Name,MLS Major Area,List Agent,Buy Agent,List Office Name,Buyer Office Name
Newport Coast,14 Via Giada,33.601895,-117.820526,5795000,5350000,882,6066,53,01-01-2019,6,5,Perazul (PERZ),N26 - Newport Coast,Spyro Kemble,Amber Yang,Surterre Properties,Harcourts Entourage Realty Group
Corona del Mar,278 Morning Canyon,33.590249,-117.864194,7995000,7100000,1224,5801,12,01-02-2019,5,4,Shore Cliffs (SHOR),CS - Corona Del Mar - Spyglass,Ron Millar,John Cain,Arbor Real Estate,Pacific Sotheby's Int'l Realty
Newport Coast,7 Almanzora,33.599161,-117.814332,2995000,2950000,694,4251,24,01-02-2019,3,4,Sausalito (SAUS),N26 - Newport Coast,Michael Fawaz,PAOLA DIONISIO,Surterre Properties,"PAOLA DIONISIO, BROKER"
Corona del Mar,431 Heliotrope,33.5992,-117.87337,2595000,2525000,1215,2078,132,01-02-2019,2,3,Corona del Mar South of PCH (CDMS),CS - Corona Del Mar - Spyglass,Timothy Tamura,Bryan Gerlach,VALIA Properties,Pacific Sotheby’s International Realty
Newport Coast,8 Auvergne,33.608615,-117.834714,998000,972500,552,1762,26,01-02-2019,3,3,Summit (NRSU),N26 - Newport Coast,Max Black,Steven Bud Mastropaolo,Redfin,"The Address, Inc"
Dana Point,8 Saint John,33.484762,-117.708021,899000,880000,423,2080,76,01-02-2019,2,3,Antigua (MBA),MB - Monarch Beach,David Koffs,Holly McKhann,"Luxre Realty, Inc.",Re/Max Coastal Homes
Laguna Niguel,24 Seabridge,33.514592,-117.68947,898000,878000,344,2552,13,01-02-2019,3,4,Saltaire (LHA),LNSLT - Salt Creek,Carla Jones,Carla Jones,Reliance Real Estate Services,Reliance Real Estate Services
San Clemente,2956 Calle Grande Vista,33.448596,-117.647023,895000,825000,391,2110,25,01-02-2019,2,3,Shorecliffs (SC),SN - San Clemente North,Sharon McCright,Sharon McCright,Keller Williams OCC Realty,Keller Williams OCC Realty
Laguna Niguel,25271 Calle Becerra,33.544005,-117.689007,749900,692500,529,1309,46,01-02-2019,2,3,Niguel Hills (NH),LNSEA - Sea Country,Robert Turner,Christopher Tebbutt,Turn Key Associates,Compass
San Juan Capistrano,26491 Orangewood,33.536206,-117.668155,459000,440000,353,1246,8,01-02-2019,2,3,Vil San Juan Court Homes (VSC),JN - San Juan North,Marcos Vargas,Marcos Vargas,Seven Gables Real Estate,Seven Gables Real Estate
Newport Coast,35 SARTEANO,33.60319,-117.817928,3990000,3950000,1052,3755,22,01-03-2019,3,3,Cassis (NCCS),N26 - Newport Coast,Spyro Kemble,Michael Fawaz,Surterre Properties,Surterre Properties Inc.
Laguna Niguel,31 Agia,33.5136,-117.70268,1299000,1250000,511,2446,52,01-03-2019,2,4,Amarante (MH) (MHA),LNSLT - Salt Creek,Monika Scott-Kerce,Robin Rice,RE/MAX Select One,Coldwell Banker Res. Brokerage
Laguna Niguel,25131 Via Portola,33.531538,-117.691065,879000,852000,384,2219,67,01-03-2019,3,5,Other (OTHR),LNSEA - Sea Country,Larry Gage,Mike Sadeghi,Team Gage R E Center,Pridemark Group
Laguna Niguel,25261 Adelanto,33.536574,-117.688994,835000,800000,416,1923,172,01-03-2019,2,4,Niguel Hills (NH),LNSEA - Sea Country,Judy Whitelock,Kim Bortnick,RE/MAX Select One,Berkshire Hathaway HomeService
Corona del Mar,121 Milford,33.587961,-117.865065,14950000,10000000,1036,9653,177,01-04-2019,6,6,Cameo Shores (CSHO),CS - Corona Del Mar - Spyglass,Brian Thomas,E. Andrew Freeman,Surterre Properties,Keller Williams Realty
Newport Beach,7 YORKSHIRE,33.61645,-117.846397,5475000,5091000,713,7140,40,01-04-2019,6,6,,NV - East Bluff - Harbor View,Joshua Altman,Spyro Kemble,Douglas Elliman,Surterre Properties Inc.
San Clemente,328 Boca Del Canon,33.412862,-117.613111,3575000,3038000,1704,1783,155,01-04-2019,3,3,Other (OTHR),SW - San Clemente Southwest,Dan Yeilding,Cary Glenn,Century 21 Award,Main Beach Realty
Newport Beach,2106 Serrano,33.598288,-117.883725,3299999,3000000,1390,2158,224,01-04-2019,3,4,Balboa Peninsula Point (BLPP),NP - Balboa Peninsula,Matt Genova,Ron Millar,Arbor Real Estate,Arbor Real Estate
Newport Beach,61 Old Course,33.635607,-117.868972,2242000,2104050,721,2918,39,01-04-2019,3,3,Balboa (One Ford Road) (OFBB),NV - East Bluff - Harbor View,Teri Armstrong Hardke,Matt Davies,Coldwell Banker Res. Brokerage,"Big Block Realty, Inc."
Newport Beach,2006 Diana,33.633722,-117.900925,1399000,1362500,1103,1235,30,01-04-2019,1,3,Harbor Highlands I (HH01),N7 - West Bay - Santa Ana Heights,Amy Baumgartner,AJ Olson Whitfield,Villa Real Estate,Villa Real Estate
San Clemente,33 Corte Vidriosa,33.47524,-117.602781,1162500,1162500,316,3679,1,01-04-2019,3,4,Sansol (SANS),TL - Talega,Kevin Hood,William Kouzi,Greentree Properties,Coldwell Banker Res Brokerage
Laguna Niguel,31584 Crystal Sands,33.503883,-117.727033,738888,710500,638,1114,132,01-04-2019,1,2,Pacific Island Village 1 (PV1),LNSMT - Summit,Joyce Sutton,Justin Tye,Berkshire Hathaway Home Service,Active Realty
Laguna Beach,725 Emerald Bay,33.553475,-117.80946,4200000,3950000,1013,3899,32,01-07-2019,3,5,Emerald Bay (EB),NL - North Laguna,Maura Short,Gordon Henry,Compass,Pacific Sotheby's Int'l Realty
Newport Beach,1933 Port Bristol,33.625301,-117.854626,2295000,2225000,866,2569,5,01-07-2019,3,5,Harbor View Homes (HVHM),NV - East Bluff - Harbor View,Heather Kidder,David Roberts,Compass,Villa Real Estate
Newport Beach,4 San Sebastian,33.61296,-117.845546,2500000,2175000,573,3796,872,01-07-2019,5,5,Harbor Ridge Custom (HRCS),NV - East Bluff - Harbor View,Mina Maghami,Ben Hecht,Berkshire Hathaway Home Service,BD Realty
Laguna Beach,315 Poplar,33.544882,-117.786445,1350000,1290000,1067,1209,82,01-07-2019,1,2,North Laguna (NL),NL - North Laguna,Frederick Balzer,Jennifer Shaw,Berkshire Hathaway Home Service,Pacific Sotheby's Int'l Realty
San Juan Capistrano,29801 Monarch,33.530304,-117.664784,1298000,1250000,307,4072,11,01-07-2019,3,5,Capistrano Royale (CY),JN - San Juan North,Bridgette Yates,Brigitte Belanger-Chretien,Realty One Group Inc,Realty One Group Inc
Laguna Beach,947 Tia Juana,33.528808,-117.755157,1163000,1100000,651,1690,129,01-07-2019,1,3,Arch Beach Heights (ABH),LV - Laguna Village,Cindy Berg,Penny Pattillo,Century 21 Discovery,Surterre Properties
Newport Beach,2011 Vista Cajon,33.635833,-117.882848,1100000,1100000,603,1824,13,01-07-2019,2,3,Bluffs Original (BORI),NV - East Bluff - Harbor View,Mariana Donahue,Mina Maghami,Berkshire Hathaway Home Service,Berkshire Hathaway HomeService
Laguna Beach,545 Lombardy,33.53625,-117.774308,919000,930000,1563,595,249,01-07-2019,1,1,The Village (VIL),LV - Laguna Village,Gary Boisen,Bryan Gerlach,Surterre Properties,Pacific Sotheby’s International Realty
Dana Point,34356 Via Fortuna,33.463837,-117.666654,749000,730000,419,1742,9,01-07-2019,2,3,Palisades (PS),CB - Capistrano Beach,Bryan Whittam,Bryan Whittam,Pacific Sotheby’s International Realty,Pacific Sotheby’s International Realty
San Clemente,221 Monte,33.443375,-117.645111,565000,565000,452,1250,0,01-07-2019,1,2,Bay Cliff Village (BV),SN - San Clemente North,Barbara Holbein,Barbara Holbein,"HomeSmart, Evergreen Realty","HomeSmart, Evergreen Realty"
San Clemente,219 Monte,33.443482,-117.645151,542000,545000,545,1000,7,01-07-2019,1,1,Bay Cliff Village (BV),SN - San Clemente North,Barbara Holbein,Steven Sanders,"HomeSmart, Evergreen Realty",Elevate Homes Realty
Newport Beach,1419 Newporter,33.622361,-117.885069,2295000,2250000,742,3032,63,01-08-2019,3,4,Harbor Cove Palisades (HCPS),NV - East Bluff - Harbor View,Paul Hoffman,Brandon Hobbs,Villa Real Estate,Harcourts Prime Properties
Laguna Beach,31832 Florence,33.500938,-117.742086,1790000,1710000,713,2398,10,01-08-2019,3,3,South Laguna Village (SLV),SL - South Laguna,Tara Trenda,Moawad Ebrahem,Berkshire Hathaway Home Service,Berkshire Hathaway H.S.C.P.
Laguna Niguel,24962 Pam,33.556656,-117.694273,1095000,1095000,457,2396,25,01-08-2019,3,5,Other (OTHR),LNLAK - Lake Area,Robert Najafinia,Deborah Crockett,Realty One Group Inc,First Team Real Estate
Laguna Niguel,30806 Calle Barbosa,33.515647,-117.722159,945000,932000,447,2085,80,01-08-2019,2,3,Country Club Vistas (CCV),LNSMT - Summit,Ginger Huetsch,Sandra Traver,Redfin,Keller Williams OCC Realty
Dana Point,34346 Via San Juan,33.463837,-117.668729,769000,779000,395,1972,7,01-08-2019,2,3,Palisades (PS),CB - Capistrano Beach,Katie Maresca,Jodie Moncrief,Re/Max Property Connection,RE/MAX Prestige Properties
